Waka Flocka Flame,*PLwDoU3lYsMZtFCECqxRHI3QuBBeLHHhRH,rap...rapGame,"2,00","bbno$ & andrei  - mr. miyagi ft. waka flocka flame,zFxgKZmDHrM;Waka Flocka Flame - ""No Hands"" ft. Wale & Roscoe Dash (Official Video),skhxizRYxps;Waka Flocka Flame - "" For My Dawgs "",RPmIn0iD_mA;Stephen Marley - Scars On My Feet ft. Waka Flocka Flame,WmfgK5-xBUI;David Lindley - ""Bye Bye Love"" | Central Reggae,8eqQr4I_tJU;Waka Flocka Flame - Chris Paul John Wall ft Jimmy Da Rocket & Luh Shotta E,9juplkH_B0k;Waka Flocka Flame - Round Of Applause feat. Drake (Official HD Video),j5Z3KUOrhS0",,wakaflockaflame,,
Rihanna,*PLmayP0qOPHaK0E_ubNJwHWn3h3UP5L0Gk,R&B,"0,00","Rihanna - Love Answers (Official Video),AcfvohG28eI;Rihanna - Your Love ft. Maroon 5 [Music Video],rMgKabcF1fU;Rihanna - To My Bed [Official Video],KdnaCgc7tj4;Rihanna - Back To You [Official Video],f2Cub7s7RCc;Rihanna - Love On The Brain (Explicit),zA-upjFaHvw;Rihanna - Mercy ft. WizKid (Official Music Video),PDq_IHl6y7g;Rihanna - Stay ft. Mikky Ekko,JF8BRvqGCNs;Rihanna - Birthday Cake (feat. Chris Brown),okeDc2eSJxE;Rihanna - Rude Boy (Tomy B Remix),pIXCkSurN24;Jeezas - We Got Doe - December 2018,Ko0l93NdegM;Rihanna - Cockiness (Love It) (Remix) (Explicit) ft. A$AP ROCKY,28t-OtYNtXA;FourNine - Jim Jones [Music Video] | Link Up TV,FEvuCb81DRs;Khalid Kane Brown - Saturday Nights REMIX (Official Video),5hqK-A0UxKw;Rihanna - How I Feel (NEW SONG 2019),TVKy7_zeon0;Plan B - Guess Again [OFFICIAL VIDEO],vv3VfXZtus4;Rihanna - Warned ft. The Weeknd Future,ABNZmBN5m7U;Rihanna - Angel ft. Zayn,ZSkGZmGhAT8;Yxng Bane - Rihanna (Official Music Video),1ruitsqQ34c;Rihanna Ft. Cardi B - Fall Out (Official Music Video),Ylv-wS9QaiA;Rihanna - Te Amo (Mert Altın Kizomba Mix),obVvNIC6Ktw;FIITU x MC LAN - Rihanna [prod Fiitu],YqkwJVAvSiM;Rihanna - Tonight ft. 21 Savage (Official Video),NEvLqiz1zJM",,rihanna,,
MGK,*PLdwwWqoY5XpGMKrUowE53uqVqqKcgPpaW,rap...rapGame,"3,00",undefined,,mgk,,
Chevy Woods - (mixtape),*PLClmWKrXQ6xpdDZfRsQwhndPRbTHP03Tz,rap,"5,00",undefined,,chevywoods,,
Snoop Dogg,*PLgXtP7yM0g1ZFYIo3LZTY8OlyVrVd5jy_,rap,,"Could You Be Snoop - Bob Marley vs Snoop Dogg - Mashup by DJ Topcat (Tracey Video Remix),fCOBh1SA7EI;Bob Marley & The Wailers - Catch a Fire (Álbum Completo),iYt_E1TlMEE;Ironik - Tuff ft. Snoop Dogg,9YjwzKDFHb4;Snoop Dogg - One More Day (feat. Charlie Wilson) ft. Charlie Wilson,BPmAxzEJpWA;Snoop Dogg - My Heat Goes Boom (Explicit),fJTFiM45v9U;Snoop Dogg Feat Warren G ; The Delinquents & Soul Re - Ballers Night Out,Rg0AT4EHUzg;Snoop Dogg - Bitchees Of Nice (2018),SPRH94XNWxI;Snoop Dogg - Music Makes Me High ft. Xzibit Tha Dogg Pound (Explicit),F4q8WnEECP0;Rick Ross ""Quintessential"" feat. Snoop Dogg (WSHH Exclusive - Official Music Video),qMI6Or9la9Y;Snoop Dogg - Blessing Me Again (feat. Rance Allen) [Official Music Video] ft. Rance Allen,yWJ2DdZjTzU;WAVEYA  sexy dance _ Jason Derulo - ""Wiggle"" feat. Snoop Dogg,YoePCBVO0oY;Ironik - Tuff ft. Snoop Dogg (Official Music Video),9YjwzKDFHb4;Black Eyed Peas - Be Nice Feat. Snoop Dogg,gHN-EhL8x3g;D'Banj ft. Snoop Dogg - Mr Endowed Remix OFFICIAL VIDEO,6xNUOaewOjg;Snoop Dogg - I Wanna Thank Me (feat. Marknoxx) (Official Video),7ehy1-6IuCg;Snoop Dogg - So High,bL9slaZDwSY;Snoop Dogg - Countdown (feat. Swizz Beatz) (Official Video),rpgQD40SIwA;Snoop Dogg - Do It When I'm In It (feat. Jermaine Dupri Ozuna & Slim Jxmmi) (Audio),Wvr9U-qrGNE;Tory Lanez - Beauty In The Benz Ft. Snoop Dogg (Official Music Video),7rouTbviTk4",,snoopdogg,,
Anuel AA,*PLPxFo6bxuI6ldFSQLHy-TGjD6QdhzXDgM,rap,,"Bad Bunny - Volvimos Ft Anuel AA (Video Concept),z0r9hWVpCoQ;Anuel AA Ft. Bad Bunny & Future - Thinkin (Video Oficial),FIFybLYsaOk;Anuel AA Ft. Ele A El Dominio - Amor o Sexo,EqRswRr6t7M;Anuel AA - Tacos Altos (Remix) FT Arcangel  Noriel Farruko y Bryant Myers,ET3ZzJI0rZA;Anuel AA- Conmigo No Forcen [ Remix ] Ft. Ozuna,avg2f1s4E_Y;Ozuna - 69 Ft Anuel AA (Video Concept),rKDeg17j3oE;Anuel AA Ft Noriel & Brytiago - Jersy [Official Video],PS-1eEPEJyY;Anuel AA - El Dia De Mi Funeral (Official Audio) 2017,Y_Tevq1SBMg;Anuel AA - Mi Loba,lO0g8uA2TH0;Que Sería - Anuel AA (Video Oficial),CzfWGTguIP0;Te Bote 2 - Anuel AA Ft Casper Magico Darell Nio Garcia,ribReO58OdA;Anuel AA - Ella Quiere Beber (Remix) ft. Romeo Santos,0w3XwPVxcsw;Anuel AA - Ella Quiere Beber (Video Oficial),BTtBmo5EbEk;BEBE - 6ix9ine Ft. Anuel AA (Prod. By Ronny J) (Official Music Video),ycV6cnK3SIs;Anuel AA - Te Bote Remix (Solo Version),2I0NThQ9vFA;Becky G Natti Natasha - Sin Pijama (Video Oficial),zEf423kYfqk;MANU STONE x TILOUISE - D'ERMERDE AOU (2018),ZIzNL5kZKmM;Lyan x Sou x Yomo - Soñando Despierto (AudioOfficial) MAGICAL CITY,1jU2knXU_-k;Farruko - Oscuridad ft. Anuel AA (Audio),0BrW1Kf9IFE;Te Bote 2 - Anuel AA Ft Nio Garcia Jenifer Lopez Casper (Video Official),_uZopK3Uy7A;Janieck - Does It Matter (Alle Farben Remix) [Official Audio],M9wRMU9XBdQ;John Christian - The Trip,nT2svuj1ymI;Anuel AA - China (Letra) (ft. Karol G J. Balvin  Daddy Yankee  Ozuna),BSWuExn9sC4;Te Bote 2 - Anuel AA Ft Casper Magico Darell  Nio Garcia,ribReO58OdA",,anuelaa,,
Bad Bunny,*PL5BNaoYrNzWMhHDaWJoNiwjSZMo5Kom1G,rap,,"Bad Bunny - Pure Ft. Farruko & Bryant Myers,zww4bDKPTiY;Bad Bunny - Le Falté El Respeto [ Remix ] Ft. Arcángel Farruko & J Alvarez,jle_cPmNNuo;Bad Bunny - Volvimos Ft Anuel AA (Video Concept),z0r9hWVpCoQ;Bad Bunny - Me Rolié,A1NVW90qUEk;Bad Bunny - Polaroid (Video Oficial),_HcDa36sUIw;Tu Misma - Bad Bunny ft Alexis y Fido,RXQCYjlxaG8;Cosculluela Ft. Bad Bunny - Madura,LOYAomlRbxI;Enrique Iglesias - EL BAÑO ft. Bad Bunny,gu9_m0vm7fM;Bad Bunny - Te Lo Meto Yo Ft. Farruko Lary Over Tempo Arcangel,48ciPOVTKck;Bad Bunny - Aquella Noche,eaZxOp5wHsU;Bad Bunny - Solo Avisame,748tGBGIJOU;Bad Bunny - El Challet Remix (Vídeo Clip) Feat. Lary Over Jory Almighty Sou y Alexio,BqwVGKjZebA;J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny,Km4BayZykwE;Bad Bunny - Otra Vez [ Remix ] Ft Darell,50iTHSzVVqg;Bad Bunny - Demonia Ft. Brytiago & Jantony,fpBoqX6KfBY;Bad Bunny - Amorfoda | Video Oficial,kLpH1nSLJSs;Bad Bunny - Estamos Bien | Video Oficial,bcHTl9h7TWI;Bad Bunny - Blockia Ft. Farruko,aKhjVTxLwiM;Dime - Chris Brown Ft. Bad Bunny (Video Oficial),OHUGQlpPrx8;BAD BUNNY - QUIERO TENERLA (OFFICIAL VIDEO),D_xk6ZPDELo;Vamos Pa La Calle - Bad Bunny (Video Oficial),bb0ITWc9LYw;Bad Bunny feat. Drake - Mia ( Video Oficial ),OSUxrSe5GbI;Wisin & Yandel ft. Bad Bunny - Dame algo (Video Oficial),ZFdlogQiBPo;Solo De Mi - Bad Bunny ( Video Oficial ),7rbprAR_Reg;YG - ""Bicken Back Being Bool"" (Official Video),rLRHiaC_VQo;Wisin & Yandel Zion & Lennox - Deseo (Audio),rFwHZ66NSI0;MC Lozin e MC Guguinha - Patrão Gigante (GR6 Filmes),vMeNudGNQqc;Mr Vegas - Wakanda Jam (Official Video),ZHr9mXnTDys;Swick Don - Pus!y Pic - August 2018,0s-N4HzjpBA;Caro - Bad Bunny ( Video Oficial ),bg64AFnRnkc;J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny (Video Oficial),Km4BayZykwE;Landy (Ft. Dadju) - Muerte (Clip Officiel),HQ_ptUiS4Ns;Bad Bunny - No Me Superas ( Video Oficial ),UMhmehmXrsM;Bad Bunny - Ni Bien Ni Mal,JW3H4qmckoY;Vershon - On and Off Switch (Official Video),jqhsKqdpkeY;Ni Bien Ni Mal - Bad Bunny ( Video Oficial ),4oiZdbwxUuQ;Callaíta - Bad Bunny ( Video Oficial ),acEOASYioGY;Nu-Vybes Band International - Party ""2019 Soca"" (Saint Kitts),XXBhgoUIeN0;DJ ROMS - SHATTA ADDICT (2019),qLGlWnXCU04;Yung Image - Feel So Good (Day Work Riddim) ""2019 Soca"" (Grenada),k6DXaKQyIls;Teddy Rhymez - Forever ""2019 Soca"" (Grenada) | Official Audio,eKcTz6tW-sA;Fadda Fox - Bruk It Off (Big Yam Riddim) ""2019 Soca"" (Barbados) | Official Audio,AckgdqGqsWA;Bad Bunny - Pendiente A Ti Feat. Enrique Iglesias ( Video Oficial Mashups - Cover HDM ),DNkcIfHbwRI;VETE - Bad Bunny ( Video Oficial ),f5aDUB1NCnk",,badbunny,,
Tyga,*PLeRTJl0ikTyskHcpdeJ5QZL7N9t8eTYoY,rap,,"Tyga - Dip (Official Video) ft. Nicki Minaj,YyWru2XOiK0;Tyga - SWISH (Official Music Video),ScdQQfAjFTk;Tyga - Taste (Official Music Video) ft. Offset,LjxulQ1bEWg;Iggy Azalea (feat. Tyga) - Kream | Traducida al español & Lyrics,mZHqaxWT2s4;Iggy Azalea - Kream ft. Tyga (Official Music Video),t7lM7Bn16Zg;Tyga Ft. Offset - Taste,NcxQ0SWAUGI;Digital Sham Ft. Tyga - Taste (Remix) June 2018,QRXOQZ8-v9w;Chris Brown - Straight Up ft. Tyga (Music Video),GRm81IZm1AQ;Tyga - Temperature (Official Video),cgr_RN-1kcc;Tyga - Girls Have Fun (Official Video) ft. Rich The Kid G-Eazy,Y-fqWMaXb8A;Tyga - Goddamn (Official Video),6OLNQiYbGLQ;Tyga - Gabbana ft. Akon Wizkid,5rvlSHRt6dY;Tyga - Lightskin Lil Wayne (Official Video),5ju4JoN3ZKc;Tyga - Ayy Macarena (Official Video),obUHDyWFMi8",,tyga,,
Nicki Minaj,*PLRenhQjuCDJbSSQ6EA4vMojK_E3sjIuly,rap,,"Nicki Minaj - Good Form ft. Lil Wayne,M8GX0cZ-xtw;Nicki Minaj - Bed ft. Ariana Grande (Official Audio),iEky5pIDxJM;Nicki Minaj - Ganja Burn,eMymSXUN9nQ;Ariana Grande - Gimme On Up ft. Nicki Minaj (Official Video),lUgEoHf3Y0E;MaskiriTrevor Dongo and Leonard Mapfumo - Daira (Official Video),GNXrmFPw3cQ;Nicki Minaj - Bardi Done ft. Tory Lanez (Official Video),DKAmXhkCjSc;Ariana Grande - the light is coming ft. Nicki Minaj,OQitfe8u7i4;Nicki Minaj - Barbie Dreams,_bvLphVWHpo;NICKI MINAJ - BARBIE DREAMS (LYRICS),X4zKffF6UNQ;Nicki Minaj - Barbie Tingz,eppa0RXRU-I;Nicki Minaj - Barbie Tingz (Lyric Video),BidS_rcf7UU;Nicki Minaj - Panda (MC Freestyle) [feat. Lady Leshurr Lil Mama & Lil Kim] [MASHUP],BDhybcpSfDk;Nicki Minaj - Cute (feat. Cardi B & CupackKe) [MASHUP],jL0WEvLrbWM;Busta Rhymes - #TWERKIT ft. Nicki Minaj,20cFWzlhhTU;Keyshia Cole - I Ain't Thru ft. Nicki Minaj (Official Video),jdLAvOMHpqo;Trey Songz - Touchin Lovin ft. Nicki Minaj [Official Music Video],cEmrvCiEapM;Fergie - You Already Know ft. Nicki Minaj (Official Music Video),-Ifnaxi2LQg;Nicki Minaj - Anaconda 니키미나즈 아나콘다 WAVEYA Twerking,hm4T0iQr93Q;Nicki Minaj - High School (Explicit) ft. Lil Wayne,RnpyRe_7jZA;Nicki Minaj - Hard White,ChotWwHqLpg;Landy - Le Dyonisien (Clip Officiel),UNZ9G6p1rYs;Avril Lavigne feat. Nicki Minaj - Dumb Blonde (Lyric Video),wC022MwPHKI;Morgan Page - Let You Go (Official Lyric Video),PaN8fh125IQ;Never Wanna Lose You (feat. Justine Skye & Jesper Jenset),M1UVcXW0gcQ;Nicki Minaj - MEGATRON,C3a1sz2Bp_E;Nicki Minaj - SUGE (Remix) (AUDIO),6-8QslChvDA;Nicki Minaj - Megatron (Maxi 2019) Dj 'Skùll,u2TYPawyc8A;Busta Rhymes ft. Nicki Minaj - #TWERKIT (Official Video),20cFWzlhhTU;Nicki Minaj ft. Iggy Azalea - Don't Give Up,bJIQNhh_8Vc;Nicki Minaj - Lats ft. Tory Lanez (Official Video),awPaVL6uijI;DaBaby ""iPHONE"" ft. Nicki Minaj (Music Video),6q6bKw7uIh0;Nicki Minaj ft. Megan Thee Stallion Lil Nas X  Monty - Cookie,Ypumn4k88Mg;a$ap ferg ft. Nicki Minaj - Plain Jane (ilkan Günüç Remix),YTqtH9onHUU",,nickiminaj,,
Juicy J,*PLK-JT3Ii9QKBrQceo66nn0orLuFGYiusE,rap,,"Juicy J - Neighbor (Official Video) ft. Travis Scott,WkSHRrFZFUA;Juicy J - Neighbor (Official Audio) ft. Travis Scott,9mLIVaHp4A4;Juicy J - Let Me See (Official Video) ft. Kevin Gates Lil Skies,p578E7tC9EA;Juicy J - One of Those Nights ft. The Weeknd (Explicit),VP7GNxLI9fM;Megan Thee Stallion - Simon Says ft. Juicy J (Official Audio),i2wX5fDoJXg;Juicy J feat. Wiz Khalifa - Smoke A Nigga,nBApNtVeLfs;Juicy J ft. Travis Scott - Neighbor (Official Video),WkSHRrFZFUA",,juicyj,,
